// Episode 20 monster skills (rAthena 19-column format).
// Secondary source checked 2026-09-05:
// https://rockragnarok.com/edda/?module=monster
// Divine Pride and RagnaPlace currently expose no kROM skill rows for these
// monsters, so every row below is deliberately limited to skills implemented
// by this fork's db/re/skill_db.yml. Exact duplicate rows in the source were
// collapsed. See the compatibility notes at the end of this file.
// MobID,Dummy,State,SkillID,SkillLv,Rate,CastTime,Delay,Cancelable,Target,Condition type,Condition value,val1,val2,val3,val4,val5,Emotion,Chat

// Copo
21970,EP20_MELIBE_ICESLUG@AL_TELEPORT,idle,26,1,700,0,10000,no,self,always,0,,,,,,,
21970,EP20_MELIBE_ICESLUG@NPC_ATTRICHANGE,idle,161,1,2000,1000,10000,no,self,always,0,,,,,,,
21970,EP20_MELIBE_ICESLUG@MG_FROSTDIVER,attack,15,10,1000,300,10000,no,target,always,0,,,,,,,
21970,EP20_MELIBE_ICESLUG@NPC_STORMGUST2,attack,723,10,1000,1000,10000,no,target,always,0,,,,,,,
21970,EP20_MELIBE_ICESLUG@NPC_BLINDATTACK,attack,177,1,1000,0,10000,no,target,always,0,,,,,,,

// Bear Bug
21971,EP20_ICEBEAR@MG_FIREBALL,chase,17,5,1000,0,5000,no,target,always,0,,,,,,,
21971,EP20_ICEBEAR@MG_FIREBOLT,chase,19,5,1000,0,5000,no,target,always,0,,,,,,,
21971,EP20_ICEBEAR@NPC_CRITICALSLASH,angry,170,1,1000,0,5000,no,target,always,0,,,,,,,
21971,EP20_ICEBEAR@AL_TELEPORT,idle,26,1,700,0,10000,no,self,always,0,,,,,,,
21971,EP20_ICEBEAR@AS_SONICBLOW,attack,136,1,2000,800,10000,no,target,always,0,,,,,,,
21971,EP20_ICEBEAR@NPC_LICK,attack,206,3,2000,0,10000,no,target,always,0,,,,,,,
21971,EP20_ICEBEAR@NPC_CRITICALSLASH,attack,170,1,1000,0,5000,no,target,always,0,,,,,,,
21971,EP20_ICEBEAR@NPC_MAGICALATTACK,attack,192,1,2000,0,10000,no,target,always,0,,,,,,,

// Jormungandr Guardian-P
21972,EP20_JORMUNGUARD1@NPC_EMOTION,idle,197,1,2000,0,10000,no,self,always,0,,,,,,,
21972,EP20_JORMUNGUARD1@AL_TELEPORT,idle,26,1,2000,0,10000,no,self,always,0,,,,,,,
21972,EP20_JORMUNGUARD1@WZ_EARTHSPIKE,attack,90,5,2000,1000,10000,no,target,always,0,,,,,,,
21972,EP20_JORMUNGUARD1@NPC_EMOTION,chase,197,1,5000,0,10000,no,self,always,0,,,,,,,
21972,EP20_JORMUNGUARD1@NPC_COMBOATTACK,attack,171,1,2000,700,10000,no,target,always,0,,,,,,,
21972,EP20_JORMUNGUARD1@NPC_CURSEATTACK,attack,181,1,2000,500,10000,no,target,always,0,,,,,,,
21972,EP20_JORMUNGUARD1@NPC_RANGEATTACK,attack,160,1,2000,0,10000,no,target,always,0,,,,,,,

// Jormungandr Guardian-Y
21973,EP20_JORMUNGUARD2@AL_TELEPORT,idle,26,1,2000,0,10000,no,self,always,0,,,,,,,
21973,EP20_JORMUNGUARD2@NPC_EMOTION,idle,197,1,2000,0,10000,no,self,always,0,,,,,,,
21973,EP20_JORMUNGUARD2@NPC_EMOTION,chase,197,1,5000,0,10000,no,self,always,0,,,,,,,
21973,EP20_JORMUNGUARD2@NPC_CRITICALSLASH,attack,170,1,2000,500,10000,no,target,always,0,,,,,,,
21973,EP20_JORMUNGUARD2@KN_SPEARSTAB,attack,58,1,2000,500,10000,no,target,always,0,,,,,,,
21973,EP20_JORMUNGUARD2@NPC_TELEKINESISATTACK,attack,191,1,2000,0,10000,no,target,always,0,,,,,,,
21973,EP20_JORMUNGUARD2@MG_NAPALMBEAT,attack,11,1,2000,0,10000,no,target,always,0,,,,,,,

// Suspicious Iwin soldiers
21974,EP20_FAKE_IWIN_SN@AL_TELEPORT,idle,26,1,1000,0,10000,no,self,always,0,,,,,,,
21975,EP20_FAKE_IWIN_SY@AL_TELEPORT,idle,26,1,1000,0,10000,no,self,always,0,,,,,,,
21975,EP20_FAKE_IWIN_SY@KN_PIERCE,attack,56,1,9000,500,5000,no,target,always,0,,,,,,,
21975,EP20_FAKE_IWIN_SY@SM_MAGNUM,attack,7,1,9000,500,5000,no,self,always,0,,,,,,,
21976,EP20_FAKE_IWIN_SB@AL_TELEPORT,idle,26,1,1000,0,10000,no,self,always,0,,,,,,,
21976,EP20_FAKE_IWIN_SB@SM_MAGNUM,attack,7,1,9000,500,5000,no,self,always,0,,,,,,,
21976,EP20_FAKE_IWIN_SB@SM_BASH,attack,5,1,9000,0,5000,no,target,always,0,,,,,,,
21976,EP20_FAKE_IWIN_SB@KN_BRANDISHSPEAR,attack,57,1,9000,1000,5000,no,target,always,0,,,,,,,
21977,EP20_FAKE_IWIN_SG@AL_TELEPORT,idle,26,1,1000,0,10000,no,self,always,0,,,,,,,
21977,EP20_FAKE_IWIN_SG@SM_MAGNUM,attack,7,1,9000,500,5000,no,self,always,0,,,,,,,
21977,EP20_FAKE_IWIN_SG@SM_BASH,attack,5,1,9000,0,5000,no,target,always,0,,,,,,,
21977,EP20_FAKE_IWIN_SG@NPC_PIERCINGATT,attack,158,1,9000,0,5000,no,target,always,0,,,,,,,
21977,EP20_FAKE_IWIN_SG@KN_PIERCE,attack,56,1,9000,500,5000,no,target,always,0,,,,,,,
21978,EP20_FAKE_IWIN_SR@AL_TELEPORT,idle,26,1,1000,0,10000,no,self,always,0,,,,,,,
21978,EP20_FAKE_IWIN_SR@SM_ENDURE,chase,8,1,5000,0,10000,no,self,longrangeattacked,,,,,,,,
21978,EP20_FAKE_IWIN_SR@MG_FIREBOLT,attack,19,10,2500,1000,15000,no,target,always,0,,,,,,,
21978,EP20_FAKE_IWIN_SR@MG_FIREBOLT,chase,19,10,2500,1000,15000,no,target,always,0,,,,,,,
21978,EP20_FAKE_IWIN_SR@CR_AUTOGUARD,attack,249,5,500,0,300000,yes,self,always,0,,,,,,,
21978,EP20_FAKE_IWIN_SR@CR_AUTOGUARD,chase,249,5,2000,0,300000,yes,self,longrangeattacked,,,,,,,,
21978,EP20_FAKE_IWIN_SR@KN_BRANDISHSPEAR,attack,57,5,1000,1000,5000,no,target,always,0,,,,,,,
21978,EP20_FAKE_IWIN_SR@CR_REFLECTSHIELD,attack,252,3,1000,3000,200000,no,self,always,0,,,,,,,

// Rgan Chief Cleaner (unsupported source rows are noted below)
21980,EP20_BOSS_CLANER@SO_CLOUD_KILL,attack,2450,10,2000,0,10000,no,target,always,0,,,,,,,
21980,EP20_BOSS_CLANER@SO_CLOUD_KILL,chase,2450,10,10000,0,2000,no,target,skillused,18,,,,,,,
21980,EP20_BOSS_CLANER@EM_VENOM_SWAMP,attack,5371,10,2000,3000,10000,no,target,always,0,,,,,,,
21980,EP20_BOSS_CLANER@EM_VENOM_SWAMP,chase,5371,10,2000,3000,15000,no,target,skillused,18,,,,,,,
21980,EP20_BOSS_CLANER@SO_POISON_BUSTER,attack,2448,10,2000,0,15000,no,target,always,0,,,,,,,
21980,EP20_BOSS_CLANER@SO_POISON_BUSTER,chase,2448,10,2000,0,15000,no,target,always,0,,,,,,,
21980,EP20_BOSS_CLANER@CR_AUTOGUARD,attack,249,10,2000,0,60000,no,self,always,0,,,,,,,
21980,EP20_BOSS_CLANER@CR_AUTOGUARD,chase,249,10,2000,0,60000,no,self,longrangeattacked,,,,,,,,
21980,EP20_BOSS_CLANER@CR_REFLECTSHIELD,attack,252,10,10000,0,300000,yes,self,always,0,,,,,,,
21980,EP20_BOSS_CLANER@CR_REFLECTSHIELD,chase,252,10,10000,0,300000,yes,self,always,0,,,,,,,

// Demigod Lasgand
21981,MD_EP20_BOSS_LASGAND@NPC_POISON,attack,176,1,2000,0,10000,no,target,always,0,,,,,,,
21981,MD_EP20_BOSS_LASGAND@NPC_GRADUAL_GRAVITY,chase,752,2,2000,0,10000,no,target,always,0,,,,,,,
21981,MD_EP20_BOSS_LASGAND@NPC_DEADLYCURSE2,attack,779,5,10000,0,30000,no,self,always,0,,,,,,,

// Fallen Angel Iceslug
21982,MD_EP20_FALLENANGEL@NPC_CHEAL,idle,729,5,2000,0,2000,yes,friend,friendhpltmaxrate,99,,,,,,,
21982,MD_EP20_FALLENANGEL@NPC_CHEAL,attack,729,5,1000,0,3000,yes,self,myhpltmaxrate,99,,,,,,,
21982,MD_EP20_FALLENANGEL@NPC_CHEAL,attack,729,5,2000,0,3000,yes,friend,friendhpltmaxrate,99,,,,,,,
21982,MD_EP20_FALLENANGEL@AL_HEAL,chase,28,9,10000,500,5000,no,friend,always,0,,,,,,,
21982,MD_EP20_FALLENANGEL@AL_HEAL,attack,28,9,10000,500,5000,no,friend,always,0,,,,,,,
21982,MD_EP20_FALLENANGEL@AL_HEAL,idle,28,9,10000,500,5000,yes,friend,friendhpltmaxrate,100,,,,,,,
21982,MD_EP20_FALLENANGEL@AL_HEAL,idle,28,9,10000,500,5000,yes,self,always,0,,,,,,,
21982,MD_EP20_FALLENANGEL@AL_HEAL,attack,28,9,10000,500,5000,yes,self,always,0,,,,,,,
21982,MD_EP20_FALLENANGEL@NPC_JACKFROST,attack,720,1,2000,3000,5000,no,target,always,0,,,,,,,
21982,MD_EP20_FALLENANGEL@NPC_JACKFROST,chase,720,1,2000,3000,10000,no,target,always,0,,,,,,,
21982,MD_EP20_FALLENANGEL@NPC_JACKFROST,chase,720,1,10000,3000,10000,no,target,skillused,18,,,,,,,
21982,MD_EP20_FALLENANGEL@AG_FROZEN_SLASH,attack,5237,1,2000,3000,5000,no,target,always,0,,,,,,,
21982,MD_EP20_FALLENANGEL@AG_FROZEN_SLASH,chase,5237,1,2000,3000,10000,no,target,always,0,,,,,,,
21982,MD_EP20_FALLENANGEL@AG_FROZEN_SLASH,chase,5237,1,10000,3000,10000,no,target,skillused,18,,,,,,,

// Angel Iceslug
21983,EP20_ANGEL_ICESLUG@CR_HOLYCROSS,attack,253,10,1000,0,5000,yes,target,always,0,,,,,,,
21983,EP20_ANGEL_ICESLUG@NPC_CHEAL,idle,729,5,2000,0,2000,yes,friend,friendhpltmaxrate,99,,,,,,,
21983,EP20_ANGEL_ICESLUG@NPC_CHEAL,attack,729,5,1000,0,3000,yes,self,myhpltmaxrate,99,,,,,,,
21983,EP20_ANGEL_ICESLUG@NPC_CHEAL,attack,729,5,2000,0,3000,yes,friend,friendhpltmaxrate,99,,,,,,,

// Superior Rgan Warlock
21985,EP20_RGAN_WARLOCK@MG_THUNDERSTORM,attack,21,10,1000,1500,5000,no,target,always,0,,,,,,,
21985,EP20_RGAN_WARLOCK@MG_THUNDERSTORM,chase,21,10,1000,1500,5000,no,target,skillused,18,,,,,,,
21985,EP20_RGAN_WARLOCK@AL_TELEPORT,idle,26,1,1000,0,10000,no,self,always,0,,,,,,,
21985,EP20_RGAN_WARLOCK@NPC_EMOTION,idle,197,1,2000,0,10000,no,self,always,0,,,,,,,
21985,EP20_RGAN_WARLOCK@NPC_DARKTHUNDER,attack,341,4,2000,700,5000,no,target,always,0,,,,,,,
21985,EP20_RGAN_WARLOCK@MG_THUNDERSTORM,attack,21,4,2000,700,5000,no,target,always,0,,,,,,,
21985,EP20_RGAN_WARLOCK@NPC_BLOODDRAIN,attack,199,1,2000,0,10000,no,target,always,0,,,,,,,
21985,EP20_RGAN_WARLOCK@NPC_WINDATTACK,attack,187,1,2000,0,10000,no,target,always,0,,,,,,,
21985,EP20_RGAN_WARLOCK@NPC_EMOTION,chase,197,1,5000,0,10000,no,self,always,0,,,,,,,

// Superior Rgan Healer
21986,EP20_RGAN_HEALER@NPC_EMOTION,idle,197,1,2000,0,10000,no,self,always,0,,,,,,,
21986,EP20_RGAN_HEALER@AL_TELEPORT,idle,26,1,2000,0,10000,no,self,always,0,,,,,,,
21986,EP20_RGAN_HEALER@NPC_EMOTION,chase,197,1,5000,0,10000,no,self,always,0,,,,,,,
21986,EP20_RGAN_HEALER@PR_SANCTUARY,attack,70,9,10000,500,30000,no,self,always,0,,,,,,,
21986,EP20_RGAN_HEALER@NPC_CHEAL,attack,729,1,2000,500,10000,no,self,always,0,,,,,,,
21986,EP20_RGAN_HEALER@AB_CHEAL,attack,2043,1,2000,0,10000,no,self,always,0,,,,,,,
21986,EP20_RGAN_HEALER@NPC_HOLYATTACK,attack,189,1,2000,0,10000,no,target,always,0,,,,,,,
21986,EP20_RGAN_HEALER@NPC_SLEEPATTACK,attack,182,1,2000,500,10000,no,target,always,0,,,,,,,
21986,EP20_RGAN_HEALER@PR_LEXAETERNA,attack,78,1,2000,500,10000,no,target,always,0,,,,,,,

// Jormungandr Church Warlock
21987,EP20_JORGAN_WARLOCK@AL_TELEPORT,idle,26,1,2000,0,10000,no,self,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@NPC_EMOTION,idle,197,1,2000,0,10000,no,self,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@NPC_EMOTION,chase,197,1,2000,0,10000,no,self,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@MG_THUNDERSTORM,attack,21,1,2000,700,10000,no,target,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@NPC_DARKTHUNDER,attack,341,1,2000,700,10000,no,target,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@NPC_CURSEATTACK,attack,181,1,2000,500,10000,no,target,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@PR_SANCTUARY,attack,70,1,2000,0,10000,no,target,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@NPC_SPLASHATTACK,attack,174,1,2000,0,10000,no,target,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@MG_FIREBOLT,attack,19,5,2000,500,10000,no,target,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@MG_COLDBOLT,attack,14,5,2000,500,10000,no,target,always,0,,,,,,,
21987,EP20_JORGAN_WARLOCK@MG_LIGHTNINGBOLT,attack,20,5,2000,500,10000,no,target,always,0,,,,,,,

// Jormungandr Church Bishop
21988,EP20_JORGAN_HEALER@NPC_EMOTION,idle,197,1,2000,0,10000,no,self,always,0,,,,,,,
21988,EP20_JORGAN_HEALER@NPC_EMOTION,chase,197,1,2000,0,10000,no,self,always,0,,,,,,,
21988,EP20_JORGAN_HEALER@MG_FIREBALL,attack,17,1,500,500,10000,no,target,always,0,,,,,,,
21988,EP20_JORGAN_HEALER@PR_LEXAETERNA,attack,78,1,2000,500,10000,no,target,always,0,,,,,,,
21988,EP20_JORGAN_HEALER@NPC_CHEAL,attack,729,1,2000,500,10000,no,self,always,0,,,,,,,
21988,EP20_JORGAN_HEALER@NPC_SILENCEATTACK,attack,178,1,2000,1000,10000,no,target,always,0,,,,,,,
21988,EP20_JORGAN_HEALER@AB_CHEAL,attack,2043,5,2000,0,10000,no,self,always,0,,,,,,,
21988,EP20_JORGAN_HEALER@NPC_GUIDEDATTACK,attack,172,1,2000,0,10000,no,target,always,0,,,,,,,
21988,EP20_JORGAN_HEALER@NPC_HOLYATTACK,attack,189,1,2000,0,10000,no,target,always,0,,,,,,,

// Jormungandr Sanctuary Guardian
21989,EP20_JORGAN_GUARDIAN@NPC_EMOTION,idle,197,1,2000,0,10000,no,self,always,0,,,,,,,
21989,EP20_JORGAN_GUARDIAN@NPC_EMOTION,chase,197,1,5000,0,10000,no,self,always,0,,,,,,,
21989,EP20_JORGAN_GUARDIAN@SM_MAGNUM,attack,7,7,2000,500,10000,no,self,always,0,,,,,,,
21989,EP20_JORGAN_GUARDIAN@LK_SPIRALPIERCE,attack,397,1,2000,0,10000,no,target,always,0,,,,,,,
21989,EP20_JORGAN_GUARDIAN@NPC_DARKSTRIKE,attack,340,5,2000,0,10000,no,target,always,0,,,,,,,
21989,EP20_JORGAN_GUARDIAN@NPC_COMBOATTACK,attack,171,5,2000,0,10000,no,target,always,0,,,,,,,
21989,EP20_JORGAN_GUARDIAN@NPC_PIERCINGATT,attack,158,5,2000,0,10000,no,target,always,0,,,,,,,
21989,EP20_JORGAN_GUARDIAN@AS_SONICBLOW,attack,136,5,2000,500,10000,no,target,always,0,,,,,,,

// Jormungandr Sanctuary Cleaner
21990,EP20_JORGAN_CLEANER@ASC_METEORASSAULT,attack,406,10,5000,500,5000,no,self,always,0,,,,,,,
21990,EP20_JORGAN_CLEANER@CR_SHIELDCHARGE,attack,250,5,5000,1000,5000,no,target,always,0,,,,,,,
21990,EP20_JORGAN_CLEANER@NPC_COMBOATTACK,attack,171,1,2000,500,15000,no,target,always,0,,,,,,,
21990,EP20_JORGAN_CLEANER@AS_SONICBLOW,attack,136,10,1000,300,10000,no,target,always,0,,,,,,,
21990,EP20_JORGAN_CLEANER@SM_MAGNUM,attack,7,10,2000,0,10000,no,self,always,0,,,,,,,
21990,EP20_JORGAN_CLEANER@NPC_GROUNDATTACK,attack,185,1,2000,0,10000,no,target,always,0,,,,,,,
21990,EP20_JORGAN_CLEANER@NPC_BLEEDING2,attack,764,1,1000,0,10000,no,target,always,0,,,,,,,

// Story-instance variants
21991,MD_EP20_JOR_G_P@WZ_EARTHSPIKE,attack,90,5,2000,1000,10000,no,target,always,0,,,,,,,
21991,MD_EP20_JOR_G_P@NPC_COMBOATTACK,attack,171,1,2000,700,10000,no,target,always,0,,,,,,,
21991,MD_EP20_JOR_G_P@NPC_CRITICALSLASH,attack,170,1,2000,500,10000,no,target,always,0,,,,,,,
21992,MD_EP20_JOR_G_Y@NPC_EMOTION,idle,197,1,2000,0,10000,no,self,always,0,,,,,,,
21992,MD_EP20_JOR_G_Y@KN_SPEARSTAB,attack,58,1,2000,500,10000,no,target,always,0,,,,,,,
21992,MD_EP20_JOR_G_Y@NPC_TELEKINESISATTACK,attack,191,1,2000,0,10000,no,target,always,0,,,,,,,
21992,MD_EP20_JOR_G_Y@MG_NAPALMBEAT,attack,11,1,2000,0,10000,no,target,always,0,,,,,,,
21993,MD_EP20_JOR_WARLOCK@MG_THUNDERSTORM,attack,21,10,1000,1500,5000,no,target,always,0,,,,,,,
21993,MD_EP20_JOR_WARLOCK@MG_THUNDERSTORM,chase,21,10,1000,1500,5000,no,target,skillused,18,,,,,,,
21993,MD_EP20_JOR_WARLOCK@MG_THUNDERSTORM,attack,21,1,2000,700,10000,no,target,always,0,,,,,,,
21993,MD_EP20_JOR_WARLOCK@NPC_DARKTHUNDER,attack,341,1,2000,700,10000,no,target,always,0,,,,,,,
21993,MD_EP20_JOR_WARLOCK@NPC_SPLASHATTACK,attack,174,1,2000,0,10000,no,target,always,0,,,,,,,
21993,MD_EP20_JOR_WARLOCK@MG_COLDBOLT,attack,14,5,2000,500,10000,no,target,always,0,,,,,,,
21993,MD_EP20_JOR_WARLOCK@MG_LIGHTNINGBOLT,attack,20,1,2000,500,10000,no,target,always,0,,,,,,,
21994,EP20_MD_HEARTHUNTER1@NPC_MENTALBREAKER,attack,159,1,2000,0,10000,no,target,always,0,,,,,,,
21994,EP20_MD_HEARTHUNTER1@NPC_COMBOATTACK,attack,171,1,2000,0,10000,no,target,always,0,,,,,,,
21994,EP20_MD_HEARTHUNTER1@NPC_CRITICALSLASH,attack,170,1,2000,0,10000,no,target,always,0,,,,,,,

// Snowstorm Angel
21996,EP20_SNOW_ANGEL@NPC_HOLYATTACK,attack,189,10,2000,500,5000,no,target,always,0,,,,,,,
21996,EP20_SNOW_ANGEL@NPC_POWERUP,attack,349,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
21996,EP20_SNOW_ANGEL@NPC_POWERUP,chase,349,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
21996,EP20_SNOW_ANGEL@NPC_AGIUP,attack,350,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
21996,EP20_SNOW_ANGEL@NPC_AGIUP,chase,350,5,10000,0,30000,yes,self,myhpltmaxrate,30,,,,,,,
21996,EP20_SNOW_ANGEL@HP_ASSUMPTIO,chase,361,5,10000,0,100000,yes,self,myhpltmaxrate,60,,,,,,,
21996,EP20_SNOW_ANGEL@HP_ASSUMPTIO,attack,361,5,10000,0,100000,yes,self,myhpltmaxrate,60,,,,,,,
21996,EP20_SNOW_ANGEL@SA_DISPELL,attack,289,5,1000,0,30000,yes,target,always,0,,,,,,,
21996,EP20_SNOW_ANGEL@SA_DISPELL,chase,289,5,1000,0,30000,yes,target,always,0,,,,,,,
21996,EP20_SNOW_ANGEL@CR_HOLYCROSS,attack,253,10,2000,0,5000,yes,target,always,0,,,,,,,
21996,EP20_SNOW_ANGEL@HN_JACK_FROST_NOVA,attack,5457,10,2000,100,10000,no,target,always,0,,,,,,,
21996,EP20_SNOW_ANGEL@HN_JACK_FROST_NOVA,chase,5457,10,2000,100,10000,no,target,always,0,,,,,,,
21996,EP20_SNOW_ANGEL@NPC_CHEAL,idle,729,5,2000,0,2000,yes,friend,friendhpltmaxrate,99,,,,,,,
21996,EP20_SNOW_ANGEL@NPC_CHEAL,attack,729,5,1000,0,3000,yes,self,myhpltmaxrate,99,,,,,,,
21996,EP20_SNOW_ANGEL@NPC_CHEAL,attack,729,5,2000,0,3000,yes,friend,friendhpltmaxrate,99,,,,,,,
21996,EP20_SNOW_ANGEL@AL_TELEPORT,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,,

// Armored Copo
23060,EP20_ARMOERDCOPO@AL_TELEPORT,idle,26,1,1000,0,10000,no,self,always,0,,,,,,,
23060,EP20_ARMOERDCOPO@WZ_HEAVENDRIVE,attack,91,5,500,1200,10000,no,target,always,0,,,,,,,
23060,EP20_ARMOERDCOPO@NPC_STUNATTACK,attack,179,1,500,500,10000,no,target,always,0,,,,,,,
23060,EP20_ARMOERDCOPO@NPC_WINDATTACK,attack,187,1,500,0,10000,no,target,always,0,,,,,,,
23060,EP20_ARMOERDCOPO@NPC_SPLASHATTACK,attack,174,1,500,0,10000,no,target,always,0,,,,,,,
23060,EP20_ARMOERDCOPO@NPC_GROUNDATTACK,attack,185,1,500,0,10000,no,target,always,0,,,,,,,

// Compatibility omissions from the secondary source:
// - NPC_DAMAGE_RES, NPC_RECOVERYCONVERSION, and NPC_GRAVITYINCREASE do not
//   exist in this fork's skill database.
// - NPC_IMMUNE_PROPERTY is implemented only through level 10, while the source
//   requests level 11 for 21980 and 21996.
// - NPC_SUMMONSLAVE rows for 21980, 21982, and 21996 omit the required slave
//   monster IDs; their dependent NPC_CALLSLAVE rows are therefore also omitted.
// - 21984's NPC_METAMORPHOSIS row omits the required transformation monster ID.
// - The secondary source records no skills for 21997.
